References	Quantité	Part Number	Description	Code Fournisseur	Option	
R9	1	00-0026	Resistor 10 ohms / 5% / case 0603	RS : 322-9080	 	ok
R16,R17	2	00-0033	Resistor 20 ohms / 5% / case 0603	 	 	ok
R23,R24,R25,R26	4	00-0048	Resistor 82 ohms / 5% / case 0603	 	 	FA
R1,R10,R12,R13,R14,R15,R27,R31	8	00-0074	Resistor 1.0k ohms / 5% / case 0603	RS : 322-9355	 	ok
R3,R4,R7,R8,R11,R28,R29,R30,R32,R33	10	00-0098	Resistor 10k ohms / 5% / case 0603	RS : 322-9484	 	ok
R21	1	00-0115	Resistor 51k ohms / 5% / case 0603	 	 	ok
R2,R6	2	01-0204	Resistor 130 ohms / 1% / case 0603	 	 	ok
R20	1	01-0367	Resistor 6.49k ohms / 1% / case 0603	 	 	FA
R19	1	01-0452	Resistor 49.9k ohms / 1% / case 0603	 	 	FA
R22	1	01-0506	Resistor 182k ohms / 1% / case 0603	 	 	FA
R18	1	01-0570	Resistor 845k ohms / 1% / case 0603	 	 	FA
C44,C53	2	10-0004	Capacitor Ceramic Y5V / 22uF / 10V / ±80% / case 1210 / ESR 0.01 ohm @ 1MHz / 1.6A / Murata GJ232NF51A226ZDOIL (GRM235Y5V226Z10)	RS : 312-3128	 	ok
C32	1	10-0007	Capacitor Ceramic X7R / 2.2nF / 50V / ±20% / case 0603	RS : 264-4573	 	ok
C23,C24,C37	3	10-0015	Capacitor Ceramic X7R / 47nF / 50V / ±10% / case 0805	RS : 264-4393	 	FA
C2,C3	2	10-0026	Capacitor Ceramic 22pF / 10V / ±20% / case 0603	RS : 264-4501	 	ok
C1	1	10-0031	Capacitor Ceramic 15pF / 10V / ±20% / case 0603	RS : 211-3142	 	FA
C41	1	10-0046	Capacitor Ceramic X5R / 100uF / 6.3V / ±20% / case 1210 / Kemet C1210C107M9PAC7800	Fa : 1108328	 	FA
C38	1	10-0053	Capacitor Ceramic 100pF / NPO / 50V / ±5% / case 0603	Fa : 499122	 	FA
C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C30,C31,C33,C40,C47,C48	25	10-0058	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0402	Fa : 1362420	 	ok
C34,C35,C36,C52	4	10-0068	Capacitor Ceramic 1uF / X5R / 25V / ±5% / case 0603	 	 	ok
C42	1	10-0084	Capacitor Ceramic COG / 47pF / 50V / ±10% / case 0603	Fa : 1907292 	 	FA
C43	1	10-0086	Capacitor Ceramic X7R / 680pF / 16V / ±20% / case 0603	Fa : 1856320	 	FA
C25,C26,C27,C28,C29,C45,C46,C49,C50,C51	10	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	FA
Q1,Q2,Q3,Q4,Q5,Q6	6	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	ok
